posterior_r,posterior_mu,posterior_Q,alert
0.00024413059827878462,0.0047170999228539675,5.554126619337854e-09,Normal
0.00024418329668592006,0.004718963882731391,5.556728123114396e-09,Normal
0.00024413393676816456,0.005202158829285263,5.036525074269852e-09,Normal
0.00023572669955574668,0.004389849859817424,5.187850187249681e-09,Normal
0.00024083897739432216,0.00467913901525935,5.303262699227522e-09,Normal
0.0002927427438686526,0.010207890696865915,5.306528928073693e-09,Normal
0.00029376786026817035,0.010696202985228841,5.135579711247216e-09,Normal
0.00025972927398403814,0.006728697806542866,4.988323067909143e-09,Normal
0.000259716821055283,0.006723161991694596,4.991473030369813e-09,Normal
0.00025365588792357547,0.005613997798539207,5.438880833913898e-09,Normal
0.0002597113437352619,0.006230117025922877,5.386038620533814e-09,Normal
0.0002584310992881728,0.006311889241802611,5.212207789422931e-09,Normal
0.00025948090946619,0.006345632172022323,5.269249245256167e-09,Normal
0.0002610390755163799,0.0065151719872596275,5.256518494268391e-09,Normal
0.00026300562821873866,0.006480043369652594,5.446082893980923e-09,Normal
0.0002609644803422976,0.006751282657124103,5.066887936393583e-09,Normal
0.00022969754109460722,0.0037838068957294826,5.426232656178443e-09,Normal
0.0002295198173886859,0.0037869735592034656,5.404935013510171e-09,Normal
0.00019161673168481135,0.0019042360518146933,5.221736117842457e-09,Normal
0.00019185061520085738,0.00188692044327646,5.2954294400744076e-09,Normal
0.0002110870065982182,0.002713171587463652,5.3972276325912164e-09,Normal
0.0001884208005730251,0.0018337279354799358,5.069702423660959e-09,Normal
0.00018879104280411006,0.001763997572917183,5.311651202717628e-09,Normal
0.0002624211672610269,0.006604719144375604,5.295940384392452e-09,Normal
0.00028269179399827946,0.008852400083295195,5.321006197588975e-09,Normal
0.0002767394023325108,0.008252423552052548,5.242090030015996e-09,Normal
0.00017603754847307992,0.0013429833647276826,5.274151551092021e-09,Normal
0.00016998177741996433,0.00111856659603425,5.504902221689231e-09,Normal
0.00016938907069987338,0.001219359885711193,4.979796878819948e-09,Vasoconstriction
0.000226423555551208,0.003675793877595649,5.273965251963308e-09,Normal
0.0002576015550772844,0.006248289102847918,5.197982302832105e-09,Normal
0.0002088254632133048,0.002652741167489241,5.287384908579928e-09,Normal
0.00020906231147769296,0.002736033201008588,5.149720029776532e-09,Normal
0.00021862610677534874,0.0032656678713680744,5.159861699855415e-09,Normal
0.0002199866099068386,0.0031067226620760274,5.560124210004403e-09,Normal
0.00021765453283528762,0.0033250060720174616,4.978292527130141e-09,Vasoconstriction
0.00025235733337918085,0.0056875884269644034,5.259416291639707e-09,Normal
0.0002533354136914874,0.005661278298116412,5.366252475988279e-09,Normal
